YMD	YMDT	DPS	AREA	TYPE_OCCUR	TYPE_CAUSE	TYPE_SHIP	WEATHER	POS	COUNT	RESCUE	INJURY	DEATH	DISAPPER	위도_도	위도_분	위도_초	경도_도	경도_분	경도_초	LAT	LON	LAT_DBC	LON_DBC
20140126	20140126 18:00	제주	영해	안전저해	운항부주의	어선	황천5급	우도 동방 8해리(33-30N 127-07.60E)	1	10	0	0	0	33	30	0	127	7	60	33.50000	127.13333	33|30|00	127|07|60
20140127	20140127 12:40	평택	협수로	키손상	정비불량	어선	양호	인천 옹진군 자월면 목덕도 남동방 1.5해리	1	4	0	0	0	36	54	0	125	48	0	36.90000	125.80000	36|54|00	125|48|00
20140127	20140127 17:54	목포	협수로	화재	기타	기타	양호	신안군 압해도 송공리 북동방 1.8해리	1	0	0	0	0	34	52	49	126	13	28	34.88028	126.22444	34|52|49	126|13|28
20140128	20140128 9:40	부산	영해	인명사상	기타	낚시어선	양호	부산 남형제도 동방 0.3마일 해상	1	6	0	0	1	34	53	9	128	57	56	34.88583	128.96556	34|53|09	128|57|56
20140128	20140128 9:43	포항	영해	인명사상	기타	어선	양호	호미곶 북동5해리	1	0	0	1	0	36	9	0	129	37	0	36.15000	129.61667	36|09|00	129|37|00
20140128	20140128 12:00	울산	외국해역	안전저해	관리소홀	어선	양호	대변 남동방 73해리	1	6	0	0	0	34	53	0	130	40	0	34.88333	130.66667	34|53|00	130|40|00
20140128	20140128 18:50	포항	영해-EEZ	침몰	기타	어선	황천4급	죽변 동방 37해리	1	0	0	0	1	37	4	41	130	11	81	37.07806	130.20583	37|04|41	130|11|81
20140129	20140129 0:05	포항	항계내	해양오염	관리소홀	낚시어선	양호	포항 동빈항	1	1	0	0	0	36	3	0	129	22	0	36.05000	129.36667	36|03|00	129|22|00
20140129	20140129 11:50	제주	영해-EEZ	인명사상	기타	유조선	양호	마라 남서방 40해리	1	1	1	0	0	32	40	91	125	36	85	32.69194	125.62361	32|40|91	125|36|85
20140129	20140129 14:40	제주	영해-EEZ	기관손상	정비불량	유조선	황천5급	차귀도 남서 53해리(32-42N 125-21E)	1	9	0	0	0	32	42	0	125	21	0	32.70000	125.35000	32|42|00	125|21|00
20140130	20140130 11:30	목포	영해-EEZ	키손상	정비불량	낚시어선	양호	전남 신안군 흑산면 가거도 남서방 24해리	1	16	0	0	0	34	2	74	124	41	72	34.05389	124.70333	34|02|74	124|41|72
20140130	20140130 15:45	창원	협수로	전복	운항부주의	모터보트	양호	거가대교 교각 남단	1	1	0	0	0	35	0	86	128	45	37	35.02389	128.76028	35|00|86	128|45|37
20140131	20140131 4:00	서귀포	영해-EEZ	안전저해	운항부주의	어선	양호	우도 남동방 35해리(33-14N 127-34E)	1	11	0	0	0	33	14	0	127	34	0	33.23333	127.56667	33|14|00	127|34|00
20140131	20140131 7:00	목포	EEZ 30마일 이내	기관손상	기타	어선	양호	진도 남서방 EEZ내측 10마일 해상	1	10	0	0	0	33	53	0	124	12	0	33.88333	124.20000	33|53|00	124|12|00
20140131	20140131 9:57	여수	협수로	접촉	운항부주의	유조선	양호	전남 여수시 낙포동 여수시 낙포각 원유2부두	1	25	1	0	0	34	51	10	127	46	49	34.85278	127.78028	34|51|10	127|46|49
